meter,date,time,kw
82445252,2024-08-21,14:00:00.000,1.636
82445252,2024-08-21,14:15:00.000,1.612
82445252,2024-08-21,14:30:00.000,1.604
82445252,2024-08-21,14:45:00.000,1.628
82445252,2024-08-21,15:00:00.000,1.596
82445252,2024-08-21,15:15:00.000,2.1
82445252,2024-08-21,15:30:00.000,2.244
82445252,2024-08-21,15:45:00.000,2.008
82445252,2024-08-21,16:00:00.000,2.508
82445252,2024-08-21,16:15:00.000,1.992
82445252,2024-08-21,16:30:00.000,2.08
82445252,2024-08-21,16:45:00.000,1.956
82445252,2024-08-21,17:00:00.000,1.956
82445252,2024-08-21,17:15:00.000,1.892
82445252,2024-08-21,17:30:00.000,1.904
82445252,2024-08-21,17:45:00.000,1.952
82445252,2024-08-21,18:00:00.000,2.012
82445252,2024-08-21,18:15:00.000,1.944
82445252,2024-08-21,18:30:00.000,1.78
82445252,2024-08-21,18:45:00.000,1.756
82445252,2024-08-21,19:00:00.000,1.864
82445252,2024-08-21,19:15:00.000,1.936
82445252,2024-08-21,19:30:00.000,1.868
82445252,2024-08-21,19:45:00.000,1.808
82445252,2024-08-21,20:00:00.000,1.836
82445252,2024-08-21,20:15:00.000,1.796
82445252,2024-08-21,20:30:00.000,1.72
82445252,2024-08-21,20:45:00.000,1.64
82445252,2024-08-21,21:00:00.000,1.732
82445252,2024-08-21,21:15:00.000,1.828
82445252,2024-08-21,21:30:00.000,1.804
82445252,2024-08-21,21:45:00.000,1.564
82445252,2024-08-21,22:00:00.000,1.58
82445252,2024-08-21,22:15:00.000,1.5
82445252,2024-08-21,22:30:00.000,1.448
82445252,2024-08-21,22:45:00.000,1.288
82445252,2024-08-21,23:00:00.000,1.46
82445252,2024-08-21,23:15:00.000,1.268
82445252,2024-08-21,23:30:00.000,1.392
82445252,2024-08-21,23:45:00.000,0.904
82445252,2024-08-22,00:00:00.000,0.872
82445252,2024-08-22,00:15:00.000,0.86
82445252,2024-08-22,00:30:00.000,0.892
82445252,2024-08-22,00:45:00.000,0.868
82445252,2024-08-22,01:00:00.000,0.352
82445252,2024-08-22,01:15:00.000,0.512
82445252,2024-08-22,01:30:00.000,0.556
82445252,2024-08-22,01:45:00.000,0.5
82445252,2024-08-22,02:00:00.000,0.196
82445252,2024-08-22,02:15:00.000,0.508
82445252,2024-08-22,02:30:00.000,0.54
82445252,2024-08-22,02:45:00.000,0.508
82445252,2024-08-22,03:00:00.000,0.324
82445252,2024-08-22,03:15:00.000,0.44
82445252,2024-08-22,03:30:00.000,0.424
82445252,2024-08-22,03:45:00.000,0.236
82445252,2024-08-22,04:00:00.000,0.532
82445252,2024-08-22,04:15:00.000,0.6
82445252,2024-08-22,04:30:00.000,0.464
82445252,2024-08-22,04:45:00.000,0.148
